ident,ID objet
418991,448861
418991,554175
418991,555829
418991,557630
418991,558181
418991,561331
418991,563940
419743,423912
419743,423913
419743,423913
419743,423914
419743,423914
419743,550955
419743,552353
419743,554723
419743,557843
419743,559821
419743,562434
419743,563512
439893,438132
439893,438141
439893,438150
439893,438159
439893,555252
551776,551775
551776,552799
551776,552800
557031,426430
557031,427939
557031,427941
557031,427946
557031,427948
557031,427951
557031,427953
557031,439353
557031,550356
557031,550358
557031,552640
557031,560630
559849,440377
559849,440378
559849,440379
559849,440382
559849,442573
559849,447806
559849,449556
559849,550552
559849,550827
559849,550829
559849,555774
559849,561767
559992,448861
559992,554175
559992,555829
559992,557630
559992,558181
559992,561331
559992,563940
563582,159386
563582,164600
563582,164602
563582,165305
563582,165306
563582,165477
563582,165478
563582,165479
563582,165480
563582,165481
563582,165482
563582,165483
563582,165484
563582,165638
563582,165812
563582,165813
563582,165850
563582,165851
563582,166149
563582,166231
563582,166471
563582,166472
563582,166474
563582,166475
563582,166584
563582,166606
563582,166607
563582,166608
563582,166609
563582,166610
563582,166611
563582,166741
563582,166746
563582,166770
563582,166779
563582,166812
563582,166908
563582,166997
563582,167017
563582,167018
563582,167024
563582,167027
563582,167104
563582,167150
563582,167242
563582,167267
563582,167315
563582,167316
563582,167317
563582,167378
563582,167417
563582,167426
563582,167427
563582,167433
563582,167435
563582,167557
563582,167567
563582,167598
563582,167599
563582,167636
563582,167688
563582,167720
563582,167807
563582,167880
563582,167881
563582,167883
563582,167954
563582,167991
563582,168082
563582,168098
563582,168114
563582,168360
563582,168361
563582,168432
563582,168488
563582,168489
563582,168490
563582,168491
563582,168532
563582,168570
563582,168616
563582,168617
563582,168618
563582,168623
563582,168694
563582,168695
563582,168705
563582,168707
563582,168710
563582,168754
563582,168860
563582,168875
563582,168876
563582,168877
563582,168923
563582,168939
563582,168962
563582,168982
563582,168995
563582,169002
563582,169003
563582,169004
563582,169030
563582,169032
563582,169033
563582,169037
563582,169071
563582,169084
563582,169090
563582,169091
563582,169179
563582,169180
563582,169188
563582,169189
563582,169224
563582,169272
563582,169280
563582,169285
563582,169286
563582,169325
563582,169418
563582,169470
563582,169471
563582,169479
563582,169480
563582,169481
563582,169501
563582,169503
563582,169504
563582,169505
563582,169554
563582,169555
563582,169591
563582,169681
563582,169710
563582,169711
563582,169713
563582,169737
563582,169739
563582,169740
563582,169741
563582,169760
563582,169792
563582,169793
563582,169811
563582,169823
563582,169925
563582,169926
563582,169930
563582,169932
563582,169933
563582,169934
563582,169992
563582,169998
563582,170163
563582,170186
563582,170188
563582,170337
563582,170338
563582,170340
563582,170345
563582,170472
563582,170481
563582,170495
563582,170496
563582,170497
563582,170500
563582,170501
563582,170505
563582,170524
563582,170606
563582,170608
563582,170614
563582,170662
563582,170748
563582,170767
563582,170891
563582,170892
563582,170908
563582,170931
563582,170934
563582,170953
563582,170965
563582,171006
563582,171067
563582,171070
563582,171154
563582,171155
563582,171209
563582,171224
563582,171230
563582,171231
563582,171252
563582,171253
563582,171255
563582,171306
563582,171336
563582,171351
563582,171357
563582,171369
563582,171392
563582,171396
563582,171398
563582,171399
563582,171458
563582,171459
563582,171473
563582,171482
563582,171500
563582,171503
563582,171555
563582,171556
563582,171577
563582,171580
563582,171584
563582,171609
563582,171624
563582,171625
563582,171626
563582,171627
563582,171628
563582,171629
563582,171630
563582,171687
563582,171719
563582,171736
563582,171737
563582,171747
563582,171748
563582,171751
563582,171780
563582,171782
563582,171785
563582,171786
563582,171841
563582,171842
563582,171843
563582,171844
563582,171886
563582,171887
563582,171889
563582,171890
563582,171894
563582,171926
563582,171927
563582,172012
563582,172034
563582,172048
563582,172052
563582,172082
563582,172110
563582,172143
563582,172170
563582,172210
563582,172211
563582,172214
563582,172261
563582,172320
563582,172326
563582,172330
563582,172338
563582,172567
563582,172568
563582,172569
563582,172571
563582,172631
563582,172663
563582,172673
563582,172699
563582,172701
563582,172712
563582,172723
563582,172748
563582,172749
563582,172753
563582,172763
563582,172771
563582,172776
563582,172797
563582,172798
563582,172799
563582,172801
563582,172806
563582,172807
563582,172808
563582,172813
563582,172833
563582,172852
563582,172856
563582,172869
563582,172870
563582,172884
563582,172885
563582,172903
563582,172904
563582,172984
563582,172997
563582,173007
563582,173016
563582,173018
563582,173019
563582,173022
563582,173026
563582,173034
563582,173035
563582,173036
563582,173058
563582,173062
563582,173063
563582,173069
563582,173073
563582,173078
563582,173086
563582,173155
563582,173157
563582,173191
563582,173214
563582,173221
563582,173230
563582,173251
563582,173304
563582,173306
563582,173307
563582,173319
563582,173320
563582,173321
563582,173327
563582,173352
563582,173367
563582,173372
563582,173374
563582,173384
563582,173385
563582,173386
563582,173387
563582,173457
563582,173460
563582,173463
563582,173466
563582,173544
563582,173547
563582,173583
563582,173586
563582,173603
563582,173604
563582,173608
563582,173609
563582,173622
563582,173623
563582,173649
563582,173656
563582,173681
563582,173683
563582,173721
563582,173722
563582,173723
563582,173724
563582,173737
563582,173738
563582,173755
563582,173775
563582,173806
563582,173873
563582,173874
563582,173878
563582,173886
563582,173887
563582,173888
563582,173889
563582,173890
563582,173898
563582,173901
563582,173904
563582,173908
563582,173909
563582,173934
563582,173948
563582,174164
563582,174182
563582,174187
563582,174193
563582,174215
563582,174216
563582,174236
563582,174238
563582,174239
563582,174241
563582,174248
563582,174249
563582,174251
563582,174261
563582,174322
563582,174328
563582,174329
563582,174330
563582,174342
563582,174356
563582,174357
563582,174377
563582,174412
563582,174418
563582,174419
563582,174430
563582,174443
563582,174486
563582,174503
563582,174505
563582,174519
563582,174524
563582,174534
563582,174535
563582,174553
563582,174562
563582,174640
563582,174650
563582,174651
563582,174656
563582,174659
563582,174660
563582,174661
563582,174695
563582,174773
563582,174784
563582,174786
563582,174807
563582,174808
563582,174836
563582,174850
563582,174913
563582,174915
563582,174917
563582,174918
563582,174920
563582,174921
563582,174923
563582,174924
563582,174926
563582,174929
563582,174931
563582,174932
563582,174955
563582,174958
563582,174964
563582,174965
563582,175014
563582,175015
563582,175016
563582,175017
563582,175019
563582,175030
563582,175066
563582,175091
563582,175095
563582,175172
563582,175173
563582,175175
563582,175176
563582,175597
563582,175598
563582,175599
563582,175619
563582,175621
563582,175665
563582,175666
563582,175667
563582,175668
563582,175669
563582,175670
563582,175680
563582,175712
563582,175724
563582,175730
563582,175740
563582,175742
563582,175752
563582,175756
563582,175760
563582,175771
563582,175773
563582,175775
563582,175812
563582,175814
563582,175822
563582,175823
563582,175825
563582,175826
563582,175921
563582,175931
563582,175934
563582,175935
563582,175936
563582,175937
563582,175975
563582,175976
563582,175982
563582,175983
563582,176008
563582,176017
563582,176019
563582,176020
563582,176029
563582,176030
563582,176035
563582,176036
563582,176037
563582,176038
563582,176039
563582,176040
563582,176041
563582,176042
563582,176070
563582,176098
563582,176114
563582,176123
563582,176124
563582,176126
563582,176135
563582,176161
563582,176196
563582,176200
563582,176223
563582,176229
563582,176244
563582,176246
563582,176248
563582,176250
563582,176308
563582,176333
563582,176348
563582,176349
563582,176384
563582,176389
563582,176427
563582,176428
563582,176599
563582,176632
563582,176664
563582,176668
563582,176697
563582,176716
563582,176720
563582,176730
563582,176731
563582,176774
563582,176776
563582,176777
563582,176801
563582,176802
563582,176812
563582,176842
563582,176843
563582,176844
563582,176879
563582,176881
563582,176893
563582,176894
563582,176897
563582,176898
563582,176902
563582,176908
563582,176922
563582,176940
563582,176956
563582,176987
563582,176988
563582,176989
563582,177000
563582,177005
563582,177015
563582,177016
563582,177017
563582,177020
563582,177023
563582,177024
563582,177025
563582,177030
563582,177039
563582,177040
563582,177050
563582,177051
